Genes,CAOV3,JHOS2,PEO1,PEO4,OAW28,COV504,JHOS4,CAOV4,NIHOVCAR3,SNU8,PEA1,59M,ES2
SLC26A4,1.000000056,1.000000002,1.000000094,1.000000019,0.999999972,1,1,0.999999978,1.000000017,1.000000012,1.000000004,1.000000003,0.999999993
PLPP3,1.000000056,1.000000002,1.000000094,1.000000019,0.999999972,1,1,0.999999978,1.000000017,1.000000012,1.000000004,1.000000003,0.999999993
MGAT5B,1.000000056,1.000000002,1.000000094,1.000000019,0.999999972,1,1,0.999999978,1.000000017,1.000000012,1.000000004,1.000000003,0.999999993
PTPRU,1.000000056,1.000000002,1.000000094,1.000000019,0.999999972,1,1,0.999999978,1.000000017,1.000000012,1.000000004,1.000000003,0.999999993
PLK3,1.000000056,1.000000002,1.000000094,1.000000019,0.999999972,1,1.000000002,0.999999978,1.000000017,1.000000012,1.000000004,1.000000003,0.999999993
AQP2,1.00000003,1.000000001,1.000000125,1.00000003,1.000000007,1.000000017,1.000000001,0.999999989,1.000000044,0.999999932,0.999999996,1.00000001,0.999999993
PGAM2,1.00000003,1.000000001,1.000000125,1.00000003,1.000000007,1.000000017,1.000000001,0.999999989,1.000000044,0.999999932,0.999999996,1.00000001,0.999999993
POMT1,1.00000003,1.000000001,1.000000125,1.00000003,1.000000007,1.000000017,1.000000001,0.999999989,1.000000044,0.999999932,0.999999996,1.00000001,0.999999993
SLC9A2,1.00000003,1.000000001,1.000000125,1.00000003,1.000000007,1.000000017,1.000000001,0.999999989,1.000000044,0.999999932,0.999999996,1.00000001,0.999999993
SLC16A9,1.00000003,1.000000001,1.000000125,1.00000003,1.000000007,1.000000017,1.000000001,0.999999989,1.000000044,0.999999932,0.999999996,1.00000001,0.999999993
NEK8,1.00000003,1.000000001,1.000000125,1.00000003,1.000000007,1.000000017,1.000000001,0.999999989,1.000000044,0.999999932,0.999999996,1.00000001,0.999999993
PPP2CA,1.00000003,1.000000001,1.000000125,1.00000003,1.000000007,1.000000017,1.000000001,0.999999989,1.000000044,0.999999932,0.999999996,1.00000001,0.999999993
FUT2,1.00000003,1.000000001,1.000000125,1.00000003,1.000000007,1.000000017,1.000000001,0.999999989,1.000000044,0.999999932,0.999999996,1.00000001,0.999999993
NSUN3,1.00000003,1.000000001,1.000000125,1.00000003,1.000000007,1.000000017,1.000000001,0.999999989,1.000000044,0.999999932,0.999999996,1.00000001,0.999999993
HDAC3,1.00000003,1.000000001,1.000000125,1.00000003,1.000000007,1.000000017,1.000000001,0.999999989,1.000000044,0.999999932,0.999999996,1.00000001,0.999999993
NAT10,1.000000021,1.000000016,1.000000044,1.000000028,1.000000007,1.000000023,1,0.999999965,0.752969741,1.000000003,0.999999978,1.000000015,0.783214734
PLA2G2F,1.000000016,1.000000023,1.000000049,0.999999983,0.999999996,1.000000006,1.000000005,0.999999996,1.000000029,1.000000075,0.999999976,1.000000036,0.999999993
NUDT5,1.000000016,1.000000023,1.000000049,0.999999983,0.999999996,1.000000006,1.000000005,0.999999996,1.000000029,1.000000075,0.999999976,1.000000036,0.999999993
GBA2,1.000000016,1.000000023,1.000000049,0.999999983,0.999999996,1.000000006,1.000000005,0.999999996,1.000000029,1.000000075,0.999999976,1.000000036,0.999999993
PRPS1L1,1.000000016,1.000000023,1.000000049,0.999999983,0.999999996,1.000000006,1.000000005,0.999999996,1.000000029,1.000000075,0.999999976,1.000000036,0.999999993
SHPRH,1.000000016,1.000000023,1.000000049,0.999999983,0.999999996,1.000000006,1.000000005,0.999999996,1.000000029,1.000000075,0.999999976,1.000000036,0.999999993
HLTF,1.000000016,1.000000023,1.000000049,0.999999983,0.999999996,1.000000006,1.000000005,0.999999996,1.000000029,1.000000075,0.999999976,1.000000036,0.999999993
CYP2C18,1.000000016,1.000000023,1.000000049,0.999999983,0.999999996,1.000000006,1.000000005,0.999999996,1.000000029,1.000000075,0.999999976,1.000000036,0.999999993
RET,1.000000016,1.000000023,1.000000049,0.999999983,0.999999996,1.000000006,1.000000005,0.999999996,1.000000029,1.000000075,0.999999976,1.000000036,0.999999993
BPNT2,1.000000016,1.000000023,1.000000049,0.999999983,0.999999996,1.000000006,1.000000005,0.999999996,1.000000029,1.000000075,0.999999976,1.000000036,0.999999993
PPM1G,1.000000016,1.000000023,1.000000049,0.999999983,0.999999996,1.000000006,1.000000005,0.999999996,1.000000029,1.000000075,0.999999976,1.000000036,0.999999993
SH3RF2,1.000000016,1.000000023,1.000000049,0.999999983,0.999999996,1.000000006,1.000000005,0.999999996,1.000000029,1.000000075,0.999999976,1.000000036,0.999999993
PIGZ,1.00000002,1.000000022,0,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
COX7A1,1.00000001,0.935845647,0.999999998,0.999999985,0.999999993,1.000000009,1,1.000000009,0.749604221,1.000000018,0.999999989,1.000000003,0.775460953
INPP4A,1.00000002,1.000000022,0.712455646,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
KMT2C,1.00000002,1.000000022,0.712455751,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
CDC25B,1.00000002,1.000000019,0.923728751,1.000000036,0.999999986,1.00000002,1,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
